timestamp,solar_radiation,temperature,humidity,wind_speed,pressure
2023-08-12,5.2054,24.08,84.55,4.28,101.08
2023-08-13,6.607,25.27,81.81,4.14,101.02
2023-08-14,4.8319,24.43,80.26,2.9,101.23
2023-08-15,4.2058,24.63,89.31,2.97,100.63
2023-08-16,5.2512,23.37,89.32,3.08,101.13
2023-08-17,4.6997,23.29,92.93,3.74,101.18
2023-08-18,6.0703,23.85,78.7,5.53,100.64
2023-08-19,6.7822,21.38,71.04,4.61,101.41
2023-08-20,6.4447,22.81,75.17,3.91,101.72
2023-08-21,4.7131,24.59,75.87,3.02,101.54
2023-08-22,6.4433,22.27,69.21,5.5,101.65
2023-08-23,5.5147,21.09,67.49,4.09,101.81
2023-08-24,1.2811,21.58,80.39,4.19,101.6
2023-08-25,2.7014,23.22,90.88,6.56,101.02
2023-08-26,5.2097,24.46,81.89,2.36,100.85
2023-08-27,6.0576,23.27,79.64,3.32,101.17
2023-08-28,3.0782,21.77,88.64,4.01,101.54
2023-08-29,3.3319,22.36,86.37,3.38,101.2
2023-08-30,5.052,23.59,80.64,3.73,100.57
2023-08-31,6.6005,20.88,68.01,6.16,101.3
2023-09-01,6.7373,19.43,65.67,4.4,102.28
2023-09-02,6.3749,20.68,73.81,4.22,102.0
2023-09-03,6.1493,23.94,74.86,3.25,101.24
2023-09-04,5.1226,25.5,75.03,1.56,100.98
2023-09-05,5.3417,26.3,76.33,1.77,101.11
2023-09-06,6.0002,27.0,73.17,2.21,100.87
2023-09-07,5.2752,26.52,78.65,2.77,100.83
2023-09-08,4.1957,25.51,90.21,3.79,101.26
2023-09-09,3.473,24.68,89.65,2.23,101.69
2023-09-10,2.3873,23.71,83.05,2.45,101.74
2023-09-11,3.919,24.31,80.66,1.76,101.41
2023-09-12,5.5354,23.68,82.3,2.69,101.37
2023-09-13,3.4848,24.08,83.62,3.14,101.16
2023-09-14,5.9719,21.6,69.41,5.52,101.54
2023-09-15,5.8027,18.69,71.95,7.78,101.55
2023-09-16,5.4089,19.46,68.57,6.17,101.13
2023-09-17,4.392,19.72,75.13,3.37,101.25
2023-09-18,1.3082,20.16,90.52,4.35,100.66
2023-09-19,5.1907,19.08,75.21,5.46,101.29
2023-09-20,5.3136,19.07,71.55,2.88,101.91
2023-09-21,5.4331,18.23,72.09,3.32,102.3
2023-09-22,3.7099,18.69,72.56,7.14,102.52
2023-09-23,1.2581,17.41,89.34,11.62,101.8
2023-09-24,1.1244,18.59,93.17,9.78,101.33
2023-09-25,1.2775,17.78,91.93,8.2,101.6
2023-09-26,1.4162,16.52,84.59,8.19,102.46
2023-09-27,4.799,15.92,78.35,6.51,102.49
2023-09-28,1.6682,16.65,89.23,6.9,102.24
2023-09-29,1.5384,17.35,93.1,7.72,101.85
2023-09-30,2.5471,16.99,90.68,6.16,101.95
2023-10-01,4.8401,18.41,86.98,4.46,101.96
2023-10-02,4.5408,19.08,84.88,3.39,102.03
2023-10-03,4.8972,19.38,84.49,2.33,101.97
2023-10-04,4.8295,19.86,90.07,2.57,102.05
2023-10-05,4.3598,18.97,94.57,3.39,102.1
2023-10-06,2.2378,19.59,96.11,4.82,101.45
2023-10-07,1.3152,17.81,91.78,6.11,100.48
2023-10-08,2.8248,14.11,75.44,7.48,100.4
2023-10-09,3.9794,13.74,69.04,6.01,100.77
2023-10-10,3.1771,15.41,75.55,3.98,100.87
2023-10-11,4.4657,16.8,76.38,2.03,101.0
2023-10-12,4.2235,16.32,78.36,2.18,101.06
2023-10-13,4.5641,14.34,71.3,4.58,101.29
2023-10-14,0.8458,12.65,83.63,4.23,100.69
2023-10-15,3.2218,13.17,78.96,7.45,99.85
2023-10-16,3.355,13.18,81.01,4.81,100.27
2023-10-17,2.9522,14.0,76.72,3.03,101.19
2023-10-18,2.5891,14.93,76.65,2.05,101.89
2023-10-19,3.385,15.02,79.04,4.25,101.8
2023-10-20,1.8737,16.84,94.54,5.17,100.41
2023-10-21,1.6534,15.31,86.95,6.6,99.23
2023-10-22,3.1822,12.34,74.4,8.41,100.38
2023-10-23,4.1292,12.12,75.12,5.5,101.87
2023-10-24,3.7565,13.84,76.63,3.37,102.59
2023-10-25,3.5726,15.23,86.76,5.06,102.39
2023-10-26,3.6804,16.38,85.57,3.93,102.17
2023-10-27,1.9082,17.27,89.28,4.19,101.76
2023-10-28,3.2969,18.8,86.38,4.78,101.5
2023-10-29,1.0046,14.72,87.71,5.79,101.66
2023-10-30,1.2578,15.05,89.07,4.99,100.83
2023-10-31,2.4847,9.97,75.96,4.66,101.58
2023-11-01,2.7535,8.05,77.23,6.19,101.69
2023-11-02,3.6804,6.91,66.57,3.9,102.99
2023-11-03,3.5023,9.92,68.47,5.15,102.88
2023-11-04,1.9217,11.3,80.26,3.57,102.14
2023-11-05,2.8459,12.56,80.72,3.18,101.6
2023-11-06,2.9861,10.67,76.34,3.74,101.79
2023-11-07,1.4575,14.33,88.4,5.83,100.81
2023-11-08,3.1961,8.38,65.96,5.68,101.67
2023-11-09,1.3404,12.32,81.88,3.89,101.16
2023-11-10,0.7474,10.0,80.18,5.13,101.83
2023-11-11,3.1625,9.12,76.43,5.0,102.51
2023-11-12,2.7672,5.87,74.04,4.55,102.99
2023-11-13,2.8438,6.5,71.99,3.76,102.44
2023-11-14,2.9659,8.43,80.02,6.65,102.38
2023-11-15,2.5224,8.45,77.77,3.89,102.73
2023-11-16,2.9964,10.94,84.99,4.4,102.24
2023-11-17,2.117,13.03,94.07,5.03,101.49
2023-11-18,2.8658,10.55,80.19,6.61,100.71
2023-11-19,2.9933,8.54,71.46,5.58,101.29
2023-11-20,2.9827,5.67,68.13,5.57,102.64
2023-11-21,0.8635,7.42,79.13,8.69,102.69
2023-11-22,1.4057,12.06,90.84,7.26,100.46
2023-11-23,2.7619,8.78,79.77,6.21,101.04
2023-11-24,2.1962,6.76,73.37,6.28,101.95
2023-11-25,2.382,2.94,65.15,3.43,102.75
2023-11-26,1.0344,8.69,79.23,6.54,101.76
2023-11-27,1.8293,7.97,81.19,7.75,100.61
2023-11-28,1.9522,2.61,70.02,9.19,101.15
2023-11-29,2.503,1.83,72.89,6.5,101.83
2023-11-30,2.6141,6.24,73.02,6.24,101.94
2023-12-01,1.0706,8.2,92.5,4.64,101.9
2023-12-02,1.452,9.66,93.88,2.61,101.52
2023-12-03,0.4558,10.05,96.45,5.43,100.76
2023-12-04,1.8266,8.6,85.14,5.93,100.76
